iter	Passed	Remaining
0	162	161875
1	176	88126
2	186	62134
3	195	48619
4	202	40285
5	208	34616
6	216	30669
7	222	27593
8	229	25317
9	236	23419
10	243	21914
11	250	20615
12	256	19507
13	264	18619
14	270	17782
15	277	17080
16	284	16428
17	290	15845
18	297	15366
19	304	14898
20	310	14496
21	317	14111
22	323	13757
23	330	13451
24	337	13152
25	343	12881
26	350	12623
27	356	12386
28	363	12179
29	370	11977
30	377	11794
31	384	11639
32	395	11576
33	408	11596
34	417	11522
35	428	11474
36	438	11415
37	450	11410
38	462	11399
39	476	11424
40	488	11419
41	502	11461
42	512	11412
43	523	11374
44	532	11307
45	543	11277
46	552	11194
47	559	11090
48	565	10979
49	572	10874
50	578	10767
51	584	10663
52	592	10584
53	598	10487
54	605	10402
55	611	10311
56	618	10224
57	625	10154
58	631	10072
59	638	9999
60	644	9927
61	651	9854
62	658	9795
63	664	9723
64	671	9658
65	677	9591
66	684	9526
67	691	9475
68	697	9413
69	704	9358
70	710	9300
71	717	9243
72	724	9197
73	730	9143
74	737	9094
75	743	9041
76	750	8990
77	757	8948
78	763	8899
79	769	8853
80	776	8807
81	782	8760
82	789	8723
83	797	8695
84	803	8654
85	810	8613
86	816	8573
87	823	8539
88	830	8501
89	837	8464
90	843	8425
91	849	8387
92	856	8357
93	863	8320
94	870	8295
95	877	8259
96	884	8232
97	890	8196
98	896	8162
99	903	8134
100	910	8105
101	917	8076
102	923	8044
103	930	8019
104	943	8038
105	953	8043
106	963	8043
107	977	8069
108	985	8056
109	994	8042
110	1003	8034
111	1011	8018
112	1020	8007
113	1028	7995
114	1036	7979
115	1043	7955
116	1051	7934
117	1058	7911
118	1065	7890
119	1072	7866
120	1080	7848
121	1088	7832
122	1095	7809
123	1102	7789
124	1109	7769
125	1123	7790
126	1134	7796
127	1144	7797
128	1154	7793
129	1163	7789
130	1173	7782
131	1183	7781
132	1195	7791
133	1206	7798
134	1218	7810
135	1230	7816
136	1241	7819
137	1249	7806
138	1256	7781
139	1262	7756
140	1268	7730
141	1275	7704
142	1282	7685
143	1288	7659
144	1295	7637
145	1301	7613
146	1307	7589
147	1314	7568
148	1321	7545
149	1328	7526
150	1334	7503
151	1340	7480
152	1348	7462
153	1354	7442
154	1361	7424
155	1368	7402
156	1375	7387
157	1382	7365
158	1388	7343
159	1395	7326
160	1401	7304
161	1408	7286
162	1415	7266
163	1421	7246
164	1428	7230
165	1434	7209
166	1441	7190
167	1448	7171
168	1454	7152
169	1461	7137
170	1468	7117
171	1474	7098
172	1481	7080
173	1487	7060
174	1494	7044
175	1500	7025
176	1507	7009
177	1513	6990
178	1519	6971
179	1526	6955
180	1533	6937
181	1540	6924
182	1548	6911
183	1554	6895
184	1561	6879
185	1567	6861
186	1574	6847
187	1581	6829
188	1587	6812
189	1594	6796
190	1600	6779
191	1607	6764
192	1613	6747
193	1621	6737
194	1627	6720
195	1634	6702
196	1641	6690
197	1647	6674
198	1654	6659
199	1660	6642
200	1667	6627
201	1674	6615
202	1680	6599
203	1687	6584
204	1693	6568
205	1699	6551
206	1707	6539
207	1713	6524
208	1720	6510
209	1726	6494
210	1732	6479
211	1740	6469
212	1747	6455
213	1754	6443
214	1760	6427
215	1766	6413
216	1773	6400
217	1780	6385
218	1786	6372
219	1793	6357
220	1799	6343
221	1806	6331
